location,date,hour,wind speed
  225,20190120,   12,   30
  225,20190120,   13,   30
  225,20190120,   14,   40
  225,20190120,   15,   50
  225,20190120,   16,   40
  225,20190120,   17,   30
  225,20190120,   18,   30
  225,20190120,   19,   20
  225,20190120,   20,   20
  225,20190120,   21,   20
  225,20190120,   22,   20
  225,20190120,   23,   20
  225,20190120,   24,   20
  225,20190121,    1,   10
  225,20190121,    2,   20
  225,20190121,    3,   20
  225,20190121,    4,   20
  225,20190121,    5,   30
  225,20190121,    6,   40
  225,20190121,    7,   40
  225,20190121,    8,   40
  225,20190121,    9,   50
  225,20190121,   10,   40
  225,20190121,   11,   30
  225,20190121,   12,   40
  225,20190121,   13,   40
  225,20190121,   14,   50
  225,20190121,   15,   50
  225,20190121,   16,   50
  225,20190121,   17,   60
  225,20190121,   18,   70
  225,20190121,   19,   80
  225,20190121,   20,   60
  225,20190121,   21,   70
  225,20190121,   22,   70
  225,20190121,   23,   80
  225,20190121,   24,   70
  225,20190122,    1,   70
  225,20190122,    2,   70
  225,20190122,    3,   80
  225,20190122,    4,   70
  225,20190122,    5,   70
  225,20190122,    6,   80
  225,20190122,    7,   80
  225,20190122,    8,   80
  225,20190122,    9,   90
  225,20190122,   10,   90
  225,20190122,   11,   90
  225,20190122,   12,   90
  225,20190122,   13,   90
  225,20190122,   14,   80
  225,20190122,   15,   70
  225,20190122,   16,   70
  225,20190122,   17,   60
  225,20190122,   18,   60
  225,20190122,   19,   60
  225,20190122,   20,   60
  225,20190122,   21,   60
  225,20190122,   22,   50
  225,20190122,   23,   60
  225,20190122,   24,   50
  225,20190123,    1,   50
  225,20190123,    2,   50
  225,20190123,    3,   30
  225,20190123,    4,   30
  225,20190123,    5,   40
  225,20190123,    6,   40
  225,20190123,    7,   30
  225,20190123,    8,   30
  225,20190123,    9,   30
  225,20190123,   10,   40
  225,20190123,   11,   40
  225,20190123,   12,   40
  225,20190123,   13,   40
  225,20190123,   14,   50
  225,20190123,   15,   50
  225,20190123,   16,   50
  225,20190123,   17,   50
  225,20190123,   18,   40
  225,20190123,   19,   50
  225,20190123,   20,   50
  225,20190123,   21,   40
  225,20190123,   22,   30
  225,20190123,   23,   20
  225,20190123,   24,   20
  225,20190124,    1,   10
  225,20190124,    2,   10
  225,20190124,    3,   10
  225,20190124,    4,   20
  225,20190124,    5,   20
  225,20190124,    6,   20
  225,20190124,    7,   20
  225,20190124,    8,   20
  225,20190124,    9,   20
  225,20190124,   10,   30
  225,20190124,   11,   30
  225,20190124,   12,   30
  225,20190124,   13,   30
  225,20190124,   14,   30
  225,20190124,   15,   20
  225,20190124,   16,   30
  225,20190124,   17,   30
  225,20190124,   18,   30
  225,20190124,   19,   40
  225,20190124,   20,   40
  225,20190124,   21,   40
  225,20190124,   22,   50
  225,20190124,   23,   50
  225,20190124,   24,   50
  225,20190125,    1,   50
  225,20190125,    2,   40
  225,20190125,    3,   40
  225,20190125,    4,   30
  225,20190125,    5,   30
  225,20190125,    6,   30
  225,20190125,    7,   30
  225,20190125,    8,   30
  225,20190125,    9,   50
  225,20190125,   10,   60
  225,20190125,   11,   70
  225,20190125,   12,   70
  225,20190125,   13,   80
  225,20190125,   14,  100
  225,20190125,   15,  130
  225,20190125,   16,  140
  225,20190125,   17,  120
  225,20190125,   18,   90
  225,20190125,   19,   90
  225,20190125,   20,  100
  225,20190125,   21,  110
  225,20190125,   22,  110
  225,20190125,   23,  100
  225,20190125,   24,  100
  225,20190126,    1,   90
  225,20190126,    2,  100
  225,20190126,    3,  100
  225,20190126,    4,  110
  225,20190126,    5,  110
  225,20190126,    6,  110
  225,20190126,    7,  110
  225,20190126,    8,  110
  225,20190126,    9,  100
  225,20190126,   10,  100
  225,20190126,   11,   90
  225,20190126,   12,  100
  225,20190126,   13,  100
  225,20190126,   14,  100
  225,20190126,   15,  110
  225,20190126,   16,  110
  225,20190126,   17,  110
  225,20190126,   18,  110
  225,20190126,   19,  110
  225,20190126,   20,  130
  225,20190126,   21,  140
  225,20190126,   22,  140
  225,20190126,   23,  130
  225,20190126,   24,  150
  225,20190127,    1,  150
  225,20190127,    2,  140
  225,20190127,    3,  130
  225,20190127,    4,  130
  225,20190127,    5,  120
  225,20190127,    6,  110
  225,20190127,    7,  110
  225,20190127,    8,   90
  225,20190127,    9,   60
  225,20190127,   10,   60
  225,20190127,   11,  110
  225,20190127,   12,  120
  225,20190127,   13,  110
  225,20190127,   14,  120
  225,20190127,   15,  130
  225,20190127,   16,  130
  225,20190127,   17,  140
  225,20190127,   18,  160
  225,20190127,   19,  170
  225,20190127,   20,  170
  225,20190127,   21,  170
  225,20190127,   22,  150
  225,20190127,   23,  120
  225,20190127,   24,  110
  225,20190128,    1,  110
  225,20190128,    2,  110
  225,20190128,    3,  120
  225,20190128,    4,  120
  225,20190128,    5,  160
  225,20190128,    6,  180
  225,20190128,    7,  180
  225,20190128,    8,  150
  225,20190128,    9,  140
  225,20190128,   10,  140
  225,20190128,   11,  140
  225,20190128,   12,  130
  225,20190128,   13,  120
  225,20190128,   14,  120
  225,20190128,   15,  120
  225,20190128,   16,  110
  225,20190128,   17,  100
  225,20190128,   18,  110
  225,20190128,   19,  110
  225,20190128,   20,  100
  225,20190128,   21,   90
  225,20190128,   22,   70
  225,20190128,   23,   80
